basin_id,mse,mae,rmse,nse,kge,n_samples,lat,lon,elev_mean,slope_mean,area_km2,mean_prcp,mean_pet,aridity,frac_snow,q_mean,runoff_ratio,hfd_mean,baseflow_index,soil_depth_pelletier,frac_forest,lai_max
11468500,1.127862231387182,0.619913745712448,1.062008583480935,0.8623232759729247,0.6158596266430896,91,39.42822,-123.73779,276.08,45.14956,273.51,3.58288295687885,2.71716240930869,0.758373198904518,0.000524205133848,1.7820639330563,0.497382681629294,135.25,0.389544707921004,1.66666666666667,1.0,4.76305862680861
14308990,0.762441398279169,0.6004160172060916,0.8731789039361687,0.8507169915466706,0.745679394492742,76,42.82318,-123.12589,987.04,96.62676,167.76,3.65558384668036,3.06434930869268,0.838265359848173,0.135825515539971,1.25590274290098,0.343557361990608,141.2,0.551512997560318,0.889679715302491,1.0,4.60764550449176
13337000,1.734046782345532,0.8508579475539071,1.3168321010461177,0.8423292968354469,0.7977728138111069,91,46.15083,-115.58722,1548.18,120.82851,3053.42,3.58831759069131,2.32941932922656,0.649167547284404,0.56457032594174,2.1587714242307,0.601611025130805,226.1,0.615920898896594,0.62545594163947,0.9726,3.46497736572959
13310700,1.0051766587193656,0.7318350231492674,1.002584988277485,0.8382131360696505,0.6146936445351205,77,44.98694,-115.725,1979.98,106.69118,853.13,3.04728131416838,2.74545106091718,0.900950971658628,0.659423756726634,1.40403490297863,0.460750012298028,231.25,0.621745886057291,0.715384615384615,0.9654,1.89139522226435
12374250,0.2503946044362135,0.2996843211791095,0.5003944488463211,0.5885822239467258,0.4749223641361507,85,47.82966,-114.69763,1379.76,104.39721,50.79,2.24356741957563,2.39513763175907,1.06755768106675,0.43980631218249,0.394046550633463,0.175633924434505,219.25,0.64285142287533,1.17171717171717,0.7973,2.87802118189041
12092000,9.312833531971483,2.26413556769654,3.051693551451634,0.4546119929423055,0.7002880586892966,91,46.90372,-122.03511,1330.94,172.20201,240.88,7.27449555099247,2.07675957563313,0.285485029315853,0.513670726431351,5.41986016073975,0.74504962203191,195.55,0.694986625401127,0.916876574307305,0.9239,3.14801874214801
07167500,17.500354721613487,0.7974013902328827,4.183342529797613,0.0268086377307325,-0.2841830776353806,91,37.70821,-96.2236,383.36,10.91937,319.62,2.81646406570842,2.72132924024641,0.966221892684406,0.0520689190916616,0.83854665634758,0.29773028761745,213.65,0.212084141612947,1.217659137577,0.0167,2.15220110986121
04196800,1.4718296493446563,0.5924592332525568,1.213189865332157,-0.0328100381228928,-0.1848692428305922,91,40.92283,-83.34881,276.66,2.52382,608.07,2.67460506502396,2.4540832991102,0.917549783780215,0.099311648741759,0.90943638239068,0.340026418959367,166.25,0.265576184380218,48.047471620227,0.0048,1.81411425207468
12048000,12.46358580192988,2.039408844905896,3.530380404705685,-1.2193794183647833,0.0984900609390165,91,48.01426,-123.13268,1263.46,183.83774,405.01,4.7751266255989,2.51796607802875,0.527308755443305,0.498197653251076,2.33485956161167,0.488962857884177,187.75,0.679331034591701,0.801925722145805,0.9881,3.12567142570297
10258500,0.1047819087438611,0.2562028431630396,0.3237003378803629,-8.455530672239377,-6.240176713442258,91,33.74502,-116.53557,1329.18,116.14195,241.51,0.822899383983573,3.14187419575633,3.81805389201634,0.0040873158462091,0.0470111154943727,0.0571286312875781,142.352941176471,0.298105910795495,1.02631578947368,0.2855,0.543802986776022
